"Hero1","H1name","Hero2","H2name","wins","losses","num_of_picks","win_percentage","pickpermedian"
1,"Anti-Mage",2,"Axe",139,196,335,0.414925373134328,4.29487179487179
1,"Anti-Mage",3,"Bane",84,116,200,0.42,2.56410256410256
1,"Anti-Mage",4,"Bloodseeker",53,92,145,0.36551724137931,1.85897435897436
1,"Anti-Mage",5,"Crystal Maiden",273,304,577,0.47313691507799,7.3974358974359
1,"Anti-Mage",6,"Drow Ranger",42,47,89,0.471910112359551,1.14102564102564
1,"Anti-Mage",7,"Earthshaker",468,484,952,0.491596638655462,12.2051282051282
1,"Anti-Mage",8,"Juggernaut",79,100,179,0.441340782122905,2.29487179487179
1,"Anti-Mage",9,"Mirana",252,272,524,0.480916030534351,6.71794871794872
1,"Anti-Mage",10,"Morphling",21,44,65,0.323076923076923,0.833333333333333
1,"Anti-Mage",11,"Shadow Fiend",598,658,1256,0.476114649681529,16.1025641025641
1,"Anti-Mage",12,"Phantom Lancer",16,29,45,0.355555555555556,0.576923076923077
1,"Anti-Mage",13,"Puck",59,83,142,0.415492957746479,1.82051282051282
1,"Anti-Mage",14,"Pudge",358,385,743,0.481830417227456,9.52564102564103
1,"Anti-Mage",15,"Razor",45,53,98,0.459183673469388,1.25641025641026
1,"Anti-Mage",16,"Sand King",116,156,272,0.426470588235294,3.48717948717949
1,"Anti-Mage",17,"Storm Spirit",67,120,187,0.358288770053476,2.3974358974359
1,"Anti-Mage",18,"Sven",40,57,97,0.412371134020619,1.24358974358974
1,"Anti-Mage",19,"Tiny",93,152,245,0.379591836734694,3.14102564102564
1,"Anti-Mage",20,"Vengeful Spirit",153,139,292,0.523972602739726,3.74358974358974
1,"Anti-Mage",21,"Windranger",708,865,1573,0.450095359186268,20.1666666666667
1,"Anti-Mage",22,"Zeus",186,159,345,0.539130434782609,4.42307692307692
1,"Anti-Mage",23,"Kunkka",78,92,170,0.458823529411765,2.17948717948718
1,"Anti-Mage",25,"Lina",274,382,656,0.417682926829268,8.41025641025641
1,"Anti-Mage",26,"Lion",279,373,652,0.427914110429448,8.35897435897436
1,"Anti-Mage",27,"Shadow Shaman",133,130,263,0.505703422053232,3.37179487179487
1,"Anti-Mage",28,"Slardar",359,345,704,0.509943181818182,9.02564102564103
1,"Anti-Mage",29,"Tidehunter",79,114,193,0.409326424870466,2.47435897435897
1,"Anti-Mage",30,"Witch Doctor",261,319,580,0.45,7.43589743589744
1,"Anti-Mage",31,"Lich",189,190,379,0.49868073878628,4.85897435897436
1,"Anti-Mage",32,"Riki",122,112,234,0.521367521367521,3
1,"Anti-Mage",33,"Enigma",94,110,204,0.46078431372549,2.61538461538462
1,"Anti-Mage",34,"Tinker",80,126,206,0.388349514563107,2.64102564102564
1,"Anti-Mage",35,"Sniper",64,128,192,0.333333333333333,2.46153846153846
1,"Anti-Mage",36,"Necrophos",224,216,440,0.509090909090909,5.64102564102564
1,"Anti-Mage",37,"Warlock",67,71,138,0.485507246376812,1.76923076923077
1,"Anti-Mage",38,"Beastmaster",43,38,81,0.530864197530864,1.03846153846154
1,"Anti-Mage",39,"Queen of Pain",358,485,843,0.424673784104389,10.8076923076923
1,"Anti-Mage",40,"Venomancer",122,98,220,0.554545454545455,2.82051282051282
1,"Anti-Mage",41,"Faceless Void",23,49,72,0.319444444444444,0.923076923076923
1,"Anti-Mage",42,"Wraith King",103,111,214,0.481308411214953,2.74358974358974
1,"Anti-Mage",43,"Death Prophet",51,75,126,0.404761904761905,1.61538461538462
1,"Anti-Mage",44,"Phantom Assassin",49,78,127,0.385826771653543,1.62820512820513
1,"Anti-Mage",45,"Pugna",53,75,128,0.4140625,1.64102564102564
1,"Anti-Mage",46,"Templar Assassin",189,224,413,0.457627118644068,5.29487179487179
1,"Anti-Mage",47,"Viper",102,119,221,0.461538461538462,2.83333333333333
1,"Anti-Mage",48,"Luna",20,41,61,0.327868852459016,0.782051282051282
1,"Anti-Mage",49,"Dragon Knight",49,65,114,0.429824561403509,1.46153846153846
1,"Anti-Mage",50,"Dazzle",332,368,700,0.474285714285714,8.97435897435897
1,"Anti-Mage",51,"Clockwerk",154,184,338,0.455621301775148,4.33333333333333
1,"Anti-Mage",52,"Leshrac",35,48,83,0.421686746987952,1.06410256410256
1,"Anti-Mage",53,"Nature's Prophet",83,154,237,0.350210970464135,3.03846153846154
1,"Anti-Mage",54,"Lifestealer",42,58,100,0.42,1.28205128205128
1,"Anti-Mage",55,"Dark Seer",149,174,323,0.461300309597523,4.14102564102564
1,"Anti-Mage",56,"Clinkz",49,62,111,0.441441441441441,1.42307692307692
1,"Anti-Mage",57,"Omniknight",186,179,365,0.50958904109589,4.67948717948718
1,"Anti-Mage",58,"Enchantress",26,57,83,0.313253012048193,1.06410256410256
1,"Anti-Mage",59,"Huskar",73,122,195,0.374358974358974,2.5
1,"Anti-Mage",60,"Night Stalker",108,109,217,0.497695852534562,2.78205128205128
1,"Anti-Mage",61,"Broodmother",48,68,116,0.413793103448276,1.48717948717949
1,"Anti-Mage",62,"Bounty Hunter",215,265,480,0.447916666666667,6.15384615384615
1,"Anti-Mage",63,"Weaver",55,63,118,0.466101694915254,1.51282051282051
1,"Anti-Mage",64,"Jakiro",101,96,197,0.512690355329949,2.52564102564103
1,"Anti-Mage",65,"Batrider",38,51,89,0.426966292134831,1.14102564102564
1,"Anti-Mage",66,"Chen",17,30,47,0.361702127659574,0.602564102564103
1,"Anti-Mage",67,"Spectre",32,36,68,0.470588235294118,0.871794871794872
1,"Anti-Mage",68,"Ancient Apparition",234,257,491,0.476578411405295,6.29487179487179
1,"Anti-Mage",69,"Doom",282,294,576,0.489583333333333,7.38461538461539
1,"Anti-Mage",70,"Ursa",83,85,168,0.494047619047619,2.15384615384615
1,"Anti-Mage",71,"Spirit Breaker",255,238,493,0.517241379310345,6.32051282051282
1,"Anti-Mage",72,"Gyrocopter",49,77,126,0.388888888888889,1.61538461538462
1,"Anti-Mage",73,"Alchemist",230,270,500,0.46,6.41025641025641
1,"Anti-Mage",74,"Invoker",465,499,964,0.482365145228216,12.3589743589744
1,"Anti-Mage",75,"Silencer",268,291,559,0.479427549194991,7.16666666666667
1,"Anti-Mage",76,"Outworld Devourer",35,56,91,0.384615384615385,1.16666666666667
1,"Anti-Mage",77,"Lycan",26,21,47,0.553191489361702,0.602564102564103
1,"Anti-Mage",78,"Brewmaster",29,35,64,0.453125,0.82051282051282
1,"Anti-Mage",79,"Shadow Demon",39,64,103,0.378640776699029,1.32051282051282
1,"Anti-Mage",80,"Lone Druid",28,42,70,0.4,0.897435897435897
